iter	RMSE
309	2.946122265
310	2.944872383
311	2.943606595
312	2.94189449
313	2.941111527
314	2.940241462
315	2.940006745
316	2.939258038
317	2.938240594
318	2.937893818
319	2.937624581
320	2.936512177
321	2.93542374
322	2.934745847
323	2.934186204
324	2.932756497
325	2.931859646
326	2.931008367
327	2.930734285
328	2.930181895
329	2.929203977
330	2.929030716
331	2.92858285
332	2.927312567
333	2.926454944
334	2.926040851
335	2.925115734
336	2.924280219
337	2.923509153
338	2.922776954
339	2.922037712
340	2.921230627
341	2.921004624
342	2.920130091
343	2.919765364
344	2.918933276
345	2.918412979
346	2.918064448
347	2.917452037
348	2.916842041
349	2.915830427
350	2.913791016
351	2.913342209
352	2.912621265
353	2.911889325
354	2.910906715
355	2.910729439
356	2.910134923
357	2.909330419
358	2.908986397
359	2.908476083
360	2.908055164
361	2.907439229
362	2.907172661
363	2.906349078
364	2.905830646
365	2.905125619
366	2.904628615
367	2.904193299
368	2.903705929
369	2.901586079
370	2.900753733
371	2.900319329
372	2.899943423
373	2.899078807
374	2.898344754
375	2.898051997
376	2.897374108
377	2.895542933
378	2.894923665
379	2.894360482
380	2.893906808
381	2.893409227
382	2.893068064
383	2.892673631
384	2.89200903
385	2.891195408
386	2.890550892
387	2.890201506
388	2.889792429
389	2.889009115
390	2.888368045
391	2.887693425
392	2.8873117
393	2.886499345
394	2.885754392
395	2.885019226
396	2.884665304
397	2.884421967
398	2.884254711
399	2.883863589
400	2.883406832
401	2.883049699
402	2.882441129
403	2.882072648
404	2.8815311
405	2.881201324
406	2.880887503
407	2.880504921
408	2.880308926
409	2.879912094
410	2.879581349
411	2.879382353
412	2.87910745
413	2.878745939
414	2.878370373
415	2.877055908
416	2.876696108
417	2.876302537
418	2.876187989
419	2.875632972
420	2.874859854
421	2.874377345
422	2.874056322
423	2.873726773
424	2.873414379
425	2.873274842
426	2.872646604
427	2.872254264
428	2.871892052
429	2.871352199
430	2.870835688
431	2.870115814
432	2.869861862
433	2.869704774
434	2.869213327
435	2.868706025
436	2.868463356
437	2.868339926
438	2.867621842
439	2.867349007
440	2.866916943
441	2.866518654
442	2.86614897
443	2.865734024
444	2.865624411
445	2.86507345
446	2.864297267
447	2.863656881
448	2.863417241
449	2.862778305
450	2.86250864
451	2.862295353
452	2.862034396
453	2.861610233
454	2.861332302
455	2.861041154
456	2.860437145
457	2.859440013
458	2.858853043
459	2.858723114
460	2.857424513
461	2.857104031
462	2.856511368
463	2.85631969
464	2.855994372
465	2.855608424
466	2.855083187
467	2.854992215
468	2.854836098
469	2.854751935
470	2.853603169
471	2.85323275
472	2.85280317
473	2.85233352
474	2.85196511
475	2.851928153
476	2.851359993
477	2.851010792
478	2.850907143
479	2.850863205
480	2.850541667
481	2.850174777
482	2.849953936
483	2.849665167
484	2.849486272
485	2.849296658
486	2.849061027
487	2.848722531
488	2.848101754
489	2.848030956
490	2.84793174
491	2.846673308
492	2.846194065
493	2.84615641
494	2.845880024
495	2.845478599
496	2.845132502
497	2.844989253
498	2.844710004
499	2.84459444
500	2.844350006
501	2.844267503
502	2.844019063
503	2.843889611
504	2.843323459
505	2.843082495
506	2.842997591
507	2.842380561
508	2.84191499
509	2.841838198
510	2.84097536
511	2.840454347
512	2.84022923
513	2.839978242
514	2.839454292
515	2.839226183
516	2.838819374
517	2.838766949
518	2.83859654
519	2.837913959
520	2.837740588
521	2.837480311
522	2.837331985
523	2.837257492
524	2.837062903
525	2.836815893
526	2.836610003
527	2.83637667
528	2.836196389
529	2.835853008
530	2.835677831
531	2.835513767
532	2.835385769
533	2.835245249
534	2.835118453
535	2.834741458
536	2.834672892
537	2.834596495
538	2.834479549
539	2.833967626
540	2.833555818
541	2.833417599
542	2.833333419
543	2.832981496
544	2.832817774
545	2.832736022
546	2.832321688
547	2.832037801
548	2.831978451
549	2.831464913
550	2.831269266
551	2.831024055
552	2.830967652
553	2.830069976
554	2.829936514
555	2.829667462
556	2.829619878
557	2.829512188
558	2.828898283
559	2.828267576
560	2.828004172
561	2.827591481
562	2.827495696
563	2.827071431
564	2.826868812
565	2.826608924
566	2.826139579
567	2.826054893
568	2.825912007
569	2.825725977
570	2.825185288
571	2.825008851
572	2.824641385
573	2.824305668
574	2.824249537
575	2.824200971
576	2.82362286
577	2.823160796
578	2.822898857
579	2.822483305
580	2.822315319
581	2.822266564
582	2.821749125
583	2.82163514
584	2.821502347
585	2.821292861
586	2.820886997
587	2.820498314
588	2.820059389
589	2.819663026
590	2.818539737
591	2.818110636
592	2.81801803
593	2.817993509
594	2.817676421
595	2.817325322
596	2.817023889
597	2.816746985
598	2.816479251
599	2.816399632
600	2.816082968
601	2.815892145
602	2.815718964
603	2.814763445
604	2.814718684
605	2.814531978
606	2.814383192
607	2.814075601
608	2.813449697
609	2.812966824
610	2.812912202
611	2.811998095
612	2.8117169
613	2.811585319
614	2.81129515
615	2.811229093
616	2.811133058
617	2.81102029
618	2.810985251
619	2.810834549
620	2.81076298
621	2.810494416
622	2.810131023
623	2.809830858
624	2.809711993
625	2.8096273
626	2.809567263
627	2.809531375
628	2.809472288
629	2.809431189
630	2.809409143
631	2.80922594
632	2.809127234
633	2.808782773
634	2.808576389
635	2.808547207
636	2.80831186
637	2.808286784
638	2.808170027
639	2.807750656
640	2.807718213
641	2.807572803
642	2.807237238
643	2.807067498
644	2.807053383
645	2.806813793
646	2.80632274
647	2.806126978
648	2.80600012
649	2.805955766
650	2.805704693
651	2.805594464
652	2.805512487
653	2.805421982
654	2.805372066
655	2.805235376
656	2.805099953
657	2.805031399
658	2.804769481
659	2.8044807
660	2.804174139
661	2.803947611
662	2.80391959
663	2.803797631
664	2.802833129
665	2.802589384
666	2.802419624
667	2.802189363
668	2.801981155
669	2.801663261
670	2.801436407
671	2.801278105
672	2.801154273
673	2.800616
674	2.800595921
675	2.800354635
676	2.800139489
677	2.800038743
678	2.800019144
679	2.799860451
680	2.799342319
681	2.799090953
682	2.799056014
683	2.798875781
684	2.798471219
685	2.797984672
686	2.797482885
687	2.796925931
688	2.79685191
689	2.796603823
690	2.796484055
691	2.796155785
692	2.795801418
693	2.795726788
694	2.795394146
695	2.795362512
696	2.79528754
697	2.795242468
698	2.795050316
699	2.794737524
700	2.794673328
701	2.794269248
702	2.794244003
703	2.794100096
704	2.79386647
705	2.793442932
706	2.793290657
707	2.793021679
708	2.792884012
709	2.792372448
710	2.792279948
711	2.792143569
712	2.791941295
713	2.791854309
714	2.791778256
715	2.79175019
716	2.791679899
717	2.791305532
718	2.791029141
719	2.790778637
720	2.790618144
721	2.790269161
722	2.790204205
723	2.789977008
724	2.78971304
725	2.789531253
726	2.789260182
727	2.789010649
728	2.788785274
729	2.78872386
730	2.788312889
731	2.788151677
732	2.788035415
733	2.787725419
734	2.787416136
735	2.787351678
736	2.787092594
737	2.787032803
738	2.786965117
739	2.786924501
740	2.786769938
741	2.786552306
742	2.786511385
743	2.786484171
744	2.786428872
745	2.786364591
746	2.786051501
747	2.786020957
748	2.785984974
749	2.785943249
750	2.785892847
751	2.785868492
752	2.785830212
753	2.785735326
754	2.785611107
755	2.785443463
756	2.785342991
757	2.784994813
758	2.78477839
759	2.784650829
760	2.784623499
761	2.784597201
762	2.784422311
763	2.784352951
764	2.784299029
765	2.784252927
766	2.784232061
767	2.784058556
768	2.784029906
769	2.783988534
770	2.783933775
771	2.783908895
772	2.783508133
773	2.783445464
774	2.783251596
775	2.783204541
776	2.783138611
777	2.783087565
778	2.783080058
779	2.782977272
780	2.782808812
781	2.782788899
782	2.78273337
783	2.782575583
784	2.782393229
785	2.782309551
786	2.78213587
787	2.782099062
788	2.782057807
789	2.781938698
790	2.781879569
791	2.781520553
792	2.781330698
793	2.781310015
794	2.781271302
795	2.781253341
796	2.781158332
797	2.781076565
798	2.781062092
799	2.781030101
800	2.780853658
801	2.780831962
802	2.780815281
803	2.780648181
804	2.780596028
805	2.780540771
806	2.780337161
807	2.780301145
808	2.780247801
809	2.780203876
810	2.780170231
811	2.780154439
812	2.780122479
813	2.779993161
814	2.77992673
815	2.779859763
816	2.779670352
817	2.779620958
818	2.779325643
819	2.77929994
820	2.779259696
821	2.778938691
822	2.778887298
823	2.778805181
824	2.778799025
825	2.778629749
826	2.778396256
827	2.778243899
828	2.778044698
829	2.77783759
830	2.777661805
831	2.777648396
832	2.7775902
833	2.777539896
834	2.777499702
835	2.776760069
836	2.7761107
837	2.776057547
838	2.775930436
839	2.775892876
840	2.775714012
841	2.775285236
842	2.775272993
843	2.775113428
844	2.774960772
845	2.774752861
846	2.774499003
847	2.774481187
848	2.774186444
849	2.774029802
850	2.773782754
851	2.773558664
852	2.773543684
853	2.773417478
854	2.773400683
855	2.773148315
856	2.773036341
857	2.772854559
858	2.772562801
859	2.772358835
860	2.772147072
861	2.772046141
862	2.771780438
863	2.771393752
864	2.771252013
865	2.771157819
866	2.77114479
867	2.770777368
868	2.770617802
869	2.770558323
870	2.77037722
871	2.770317501
872	2.77020761
873	2.770021602
874	2.76967821
875	2.76952907
876	2.769454005
877	2.769440015
878	2.769285851
879	2.768867714
880	2.768795581
881	2.768711279
882	2.768564692
883	2.76822086
884	2.768150446
885	2.76813706
886	2.767125405
887	2.767048683
888	2.766887577
889	2.766846916
890	2.766797829
891	2.766536634
892	2.766210132
893	2.766155042
894	2.766085382
895	2.765219062
896	2.76503357
897	2.765020844
898	2.764917963
899	2.76486836
900	2.764699875
901	2.764625017
902	2.764599835
903	2.764579026
904	2.764536289
905	2.764441286
906	2.76437212
907	2.76430914
908	2.764297095
909	2.764073921
910	2.763873804
911	2.763852197
912	2.763824421
913	2.76379395
914	2.763688004
915	2.763662228
916	2.76353237
917	2.763521733
918	2.763425377
919	2.763246754
920	2.763138168
921	2.763009136
922	2.762805077
923	2.762760284
924	2.762669502
925	2.762660286
926	2.762552193
927	2.762457038
928	2.762396754
929	2.762244014
930	2.762230126
931	2.761967318
932	2.761828315
933	2.761752357
934	2.76169687
935	2.761543226
936	2.761472472
937	2.761422303
938	2.761366615
939	2.761356929
940	2.760591982
941	2.760583475
942	2.760427431
943	2.76036683
944	2.76035745
945	2.760281719
946	2.760050901
947	2.759947019
948	2.759802535
949	2.759793339
950	2.759780995
951	2.75954101
952	2.759533977
953	2.759403296
954	2.759251607
955	2.759207748
956	2.75900218
957	2.758887047
958	2.758865758
959	2.75880725
960	2.75865026
961	2.758639261
962	2.758619267
963	2.758581804
964	2.758497549
965	2.758360974
966	2.758320211
967	2.757750921
968	2.757646593
969	2.757640324
970	2.757614433
971	2.757581852
972	2.757569674
973	2.757558024
974	2.757252786
975	2.756962198
976	2.756922157
977	2.756526001
978	2.756445215
979	2.756214766
980	2.756209607
981	2.756063417
982	2.756027315
983	2.755997738
984	2.755935433
985	2.755910708
986	2.75590041
987	2.755858286
988	2.755715925
989	2.755557917
990	2.755525001
991	2.755459879
992	2.75545212
993	2.755416633
994	2.75518897
995	2.755088214
996	2.754951895
997	2.754856417
998	2.754832458
999	2.754825498
